Metric,Parameter,ST_Initial,ST_Final,Delta_ST
LVP_min,C.SAR,0.0107905784409178,0.0169270957072262,0.00613651726630839
LVP_min,E.RV.EB,0.00311088482930187,0.00919585872862401,0.00608497389932215
LVP_min,R.SAR,0.0015447749381833,0.0029184094996644,0.0013736345614811
LVP_min,V0.LA,0.000854549110422496,0.00246773869227086,0.00161318958184837
LVP_min,R.PCOX,0.00137134383764064,0.00205567801851517,0.000684334180874529
LVP_min,E.RV.EA,0,0.00169588900633476,0.00169588900633476
LVP_min,V0.RA,0.00132681266554264,0.00160487535728421,0.000278062691741573
LVP_min,V0.LV,0.000206265395181304,0.00117309438815954,0.000966828992978239
LVP_min,R.PVEN,0,0.000650317634031294,0.000650317634031294
LVP_min,E.RA.EA,0.00192125875665331,0.000618063173042072,-0.00130319558361124
LVP_min,E.LA.EA,0.00188556880766616,0.000445892370151998,-0.00143967643751416
LVP_min,vsd.Cd,0.00116228497860216,4.54038956180102e-05,-0.00111688108298415
LVP_min,C.PAR,0.00363286795208657,0,-0.00363286795208657
LVP_min,R.PAR,0.000333230838393576,0,-0.000333230838393576
LVP_min,V0.RV,0,0,0
PAP_max,C.SVEN,0.23963614487518,0.388338497906832,0.148702353031653
PAP_max,R.PCOX,0.175278124411626,0.16678380075083,-0.00849432366079553
PAP_max,R.SVEN,0.177917428195752,0.142709959068402,-0.0352074691273499
PAP_max,C.PAR,0.108953925779814,0.0926142436360354,-0.0163396821437781
PAP_max,R.SC,0.0575227325318446,0.0834736769636588,0.0259509444318142
PAP_max,C.PVEN,0.200428492419142,0.0522721982809618,-0.14815629413818
PAP_max,C.SAR,0.0112954146728826,0.0384284718997668,0.0271330572268842
PAP_max,E.LV.EB,0.0249622073997528,0.0275493520324982,0.00258714463274545
PAP_max,E.RV.EB,0.0120860437797227,0.0229261868872892,0.0108401431075666
PAP_max,E.LV.EA,0.0126922487838928,0.00910100841681912,-0.00359124036707366
PAP_max,R.PVEN,0.00178104301054592,0.00744771480643951,0.00566667179589359
PAP_max,R.PAR,0.00215038221815749,0.00395810288268862,0.00180772066453113
PAP_max,vsd.Cd,0.00261500200927266,0.00310729595319968,0.000492293943927015
PAP_max,E.RV.EA,0.0020585246633383,0.00303284862067741,0.000974323957339119
PAP_max,E.RA.EA,0.00647784999080883,0.00272746137601159,-0.00375038861479724
PAP_max,V0.RA,0.00433971918443586,0.00269653034868827,-0.00164318883574759
PAP_max,E.LA.EA,0.000117692218700012,0.00168267094046641,0.0015649787217664
PAP_max,V0.LV,0.00118018213049599,0.0007435730869675,-0.000436609043528488
PAP_max,V0.LA,0.00261718154408799,0.000467258892562096,-0.00214992265152589
PAP_max,V0.RV,0.000250083342984879,0.000147374518754172,-0.000102708824230708
PAP_max,R.SAR,0.000857648030341636,0,-0.000857648030341636
PAP_mean,C.SVEN,0.257697120066598,0.381811620248103,0.124114500181505
PAP_mean,R.PCOX,0.252038690915692,0.260694113820471,0.00865542290477866
PAP_mean,R.SVEN,0.152693434709377,0.127801771505841,-0.024891663203536
PAP_mean,R.SC,0.0452418995116187,0.0638702897696512,0.0186283902580325
PAP_mean,E.LV.EB,0.0563132011141745,0.0588628751390119,0.00254967402483749
PAP_mean,C.PVEN,0.234914949435334,0.0513736059232473,-0.183541343512086
PAP_mean,C.SAR,0.012778319076487,0.0368576425321018,0.0240793234556148
PAP_mean,E.RV.EB,0.0115493562716325,0.0226045606358857,0.0110552043642531
PAP_mean,R.PVEN,0.00371196862464987,0.0134032088080465,0.00969124018339661
PAP_mean,E.LV.EA,0.00418751289395084,0.00749362868174616,0.00330611578779533
PAP_mean,E.RV.EA,0.00183166390771343,0.00360217306505026,0.00177050915733683
PAP_mean,R.PAR,0.00397100998938983,0.00322061120884127,-0.000750398780548559
PAP_mean,C.PAR,0.0047125256801492,0.00271176925293228,-0.00200075642721692
PAP_mean,E.RA.EA,0.00273599194153716,0.00262122113018353,-0.000114770811353634
PAP_mean,vsd.Cd,0.00273314729910951,0.00188039851323389,-0.000852748785875621
PAP_mean,E.LA.EA,9.45201184089645e-05,0.00157133356716834,0.00147681344875938
PAP_mean,R.SAR,0.000697859420283101,0.000694435519724311,-3.42390055879075e-06
PAP_mean,V0.RA,9.38550883133968e-05,0.000461092694438526,0.000367237606125129
PAP_mean,V0.RV,0.00148382719106455,9.21202585990349e-07,-0.00148290598847856
PAP_mean,V0.LA,0.000386906171845216,6.80427022030821e-07,-0.000386225744823186
PAP_mean,V0.LV,0,0,0
PAP_min,C.SVEN,0.270586383344901,0.354479021106809,0.0838926377619078
